start_index,end_index,field_length,field_name
1,8,8,Process_Num
9,14,6,School_Attend_Code
21,22,2,State_Code
29,31,3,Cycle_Code
33,33,1,Tested_Own_School
34,39,6,School_Reported_Code
44,68,25,L_Name
69,84,16,F_Name
85,85,1,M_Initial
107,109,3,Doc_Id
110,117,8,DOB
118,118,1,Gender
119,119,1,Ethn_FedValues
130,131,2,Grade_Reported
132,139,8,Test_Dte
140,141,2,Grade_School_Header
146,147,2,Grade_Student_Grid
150,151,2,Eng
152,153,2,Mth
154,155,2,Rdg
156,157,2,Sci
158,159,2,Composite
160,161,2,STEM
162,163,2,E_Earn_Prod
164,165,2,E_Earn_Knlg
166,167,2,E_Earn_Conv
168,169,2,M_Earn_Higher
170,171,2,M_Earn_NumQ
172,173,2,M_Earn_Alg
174,175,2,M_Earn_Func
176,177,2,M_Earn_Geom
178,179,2,M_Earn_Stat
180,181,2,M_Earn_Essen
182,183,2,M_Earn_Mod
184,185,2,R_Earn_Ideas
186,187,2,R_Earn_Struc
188,189,2,R_Earn_Knlg
190,191,2,S_Earn_Data
192,193,2,S_Earn_Inv
194,195,2,S_Earn_Eval
198,199,2,Eng_Low
200,201,2,Eng_High
202,203,2,Mth_Low
204,205,2,Mth_High
206,207,2,Rdg_Low
208,209,2,Rdg_High
210,211,2,Sci_Low
212,213,2,Sci_High
214,215,2,Composite_Low
216,217,2,Composite_High
218,219,2,STEM_Low
220,221,2,STEM_High
230,231,2,Pred_ACT_Eng_Low
232,233,2,Pred_ACT_Eng_High
234,235,2,Pred_ACT_Mth_Low
236,237,2,Pred_ACT_Mth_High
238,239,2,Pred_ACT_Rdg_Low
240,241,2,Pred_ACT_Rdg_High
242,243,2,Pred_ACT_Sci_Low
244,245,2,Pred_ACT_Sci_High
246,247,2,Pred_ACT_Composite_Low
248,249,2,Pred_ACT_Composite_High
250,251,2,Pred_ACT_STEM_Low
252,253,2,Pred_ACT_STEM_High
254,256,3,USRnk_Sub_Engl
257,259,3,USRnk_Sub_Math
260,262,3,USRnk_Sub_Rdg
263,265,3,USRnk_Sub_Sci
266,268,3,USRnk_Comp
269,271,3,USRnk_STEM
272,272,1,C_Readiness
280,280,1,Best_Lan
281,281,1,Program_Of_Study
282,282,1,EdLevel_Mthr
283,283,1,EdLevel_Fthr
284,284,1,Partic_InstMus
285,285,1,Partic_VocMus
286,286,1,Partic_Pubs
287,287,1,Partic_Debate
288,288,1,Partic_Art
289,289,1,Partic_Theater
290,290,1,Partic_VAthl
291,291,1,Partic_Sci
292,292,1,Partic_Honors
293,293,1,Partic_Cheer
294,294,1,Partic_ServOrg
295,295,1,Partic_RacEthOrg
296,296,1,Partic_Abroad
297,297,1,Partic_PolOrg
298,298,1,Partic_RadioTV
299,299,1,Partic_RelOrg
300,300,1,Partic_ROTC
301,301,1,Partic_FratSor
302,302,1,Partic_StuGov
303,303,1,Partic_NotPartic
304,304,1,Clg_Outreach
305,305,1,WorkHrs
306,306,1,Highest_ed_exp
307,307,1,Career
310,310,1,EOS_OptIn
311,314,4,Results_Void
315,315,1,Help_EdPlan
316,316,1,Help_Writing
317,317,1,Help_Reading
318,318,1,Help_StudySk
319,319,1,Help_MathSk
320,320,1,Help_Computer
321,321,1,Help_Public_Speaking
322,411,90,IntInv_Responses
412,413,2,IntInv_MapReg1
414,415,2,IntInv_MapReg2
416,417,2,IntInv_MapReg3
420,422,3,IntInv_LikePerc
423,425,3,IntInv_IndiffPerc
426,428,3,IntInv_DislikePerc
431,431,1,IntInv_TechSta
432,432,1,IntInv_SciSta
433,433,1,IntInv_ArtSta
434,434,1,IntInv_SocSta
435,435,1,IntInv_BusCSta
436,436,1,IntInv_BusOpSta
437,438,2,IntInv_TechStd
439,440,2,IntInv_SciStd
441,442,2,IntInv_ArtStd
