DESCRIPTOR_NAME,Owner,NAMESPACE,CODE_VALUE,SHORT_DESCRIPTION,DESCRIPTION
absence_event_category_descriptors,ed-fi,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Bereavement,Bereavement,Bereavement
absence_event_category_descriptors,ed-fi,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Compensatory leave time,Compensatory leave time,Compensatory leave time
absence_event_category_descriptors,ed-fi,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Flex time,Flex time,Flex time
absence_event_category_descriptors,ed-fi,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Jury duty,Jury duty,Jury duty
absence_event_category_descriptors,ed-fi,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Other,Other,Other
absence_event_category_descriptors,ed-fi,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Personal,Personal,Personal
absence_event_category_descriptors,ed-fi,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Professional development,Professional development,Professional development
absence_event_category_descriptors,ed-fi,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Release time,Release time,Release time
absence_event_category_descriptors,ed-fi,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Sick leave,Sick leave,Sick leave
absence_event_category_descriptors,ed-fi,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Suspension,Suspension,Suspension
absence_event_category_descriptors,ed-fi,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Vacation,Vacation,Vacation
absence_event_category_descriptors,ed-fi,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Work compensation,Work compensation,Work compensation
academic_honor_category_descriptors,ed-fi,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Attendance award,Attendance award,Attendance award
academic_honor_category_descriptors,ed-fi,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Awarding of units of value,Awarding of units of value,Awarding of units of value
academic_honor_category_descriptors,ed-fi,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Certificate,Certificate,Certificate
academic_honor_category_descriptors,ed-fi,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Citizenship award/recognition,Citizenship award/recognition,Citizenship award/recognition
academic_honor_category_descriptors,ed-fi,uri://ed-fi.org/AcademicHonorCategoryDescriptor,"Completion of requirement, but no units awarded","Completion of requirement, but no units of value awarded","Completion of requirement, but no units of value awarded"
academic_honor_category_descriptors,ed-fi,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Honor award,Honor award,Honor award
academic_honor_category_descriptors,ed-fi,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Honor roll,Honor roll,Honor roll
academic_honor_category_descriptors,ed-fi,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Honor society,Honor society,Honor society
